,,,,,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,,-additional
Year,Lg,Name,Tm,WAR,BA,OBP,SLG,HR,RBI,SB,W,L,SV,ERA,IP,SO,Voting,-9999
1936,AL,Lou Gehrig,NYY,9.7,.354,.478,.696,49,152,3,,,,,,,Voting,gehrilo01
1936,NL,Carl Hubbell,NYG,10.0,.227,.248,.236,0,8,0,26,6,3,2.31,304.0,123,Voting,hubbeca01
,,,,,,,,,,,,,,,,,,-9999
1935,AL,Hank Greenberg,DET,7.5,.328,.411,.628,36,168,4,,,,,,,Voting,greenha01
1935,NL,Gabby Hartnett,CHC,4.9,.344,.404,.545,13,91,1,,,,,,,Voting,hartnga01
,,,,,,,,,,,,,,,,,,-9999
1934,AL,Mickey Cochrane,DET,4.5,.320,.428,.412,2,75,8,,,,,,,Voting,cochrmi01
1934,NL,Dizzy Dean,STL,9.5,.246,.252,.339,2,9,1,30,7,7,2.66,311.2,195,Voting,deandi01
,,,,,,,,,,,,,,,,,,-9999
1933,AL,Jimmie Foxx,PHA,9.0,.356,.449,.703,48,163,2,,,,,,,Voting,foxxji01
1933,NL,Carl Hubbell,NYG,9.0,.183,.198,.248,1,12,0,23,12,5,1.66,308.2,156,Voting,hubbeca01
,,,,,,,,,,,,,,,,,,-9999
1932,AL,Jimmie Foxx,PHA,10.4,.364,.469,.749,58,169,3,,,,,,,Voting,foxxji01
1932,NL,Chuck Klein,PHI,7.5,.348,.404,.646,38,137,20,,,,,,,Voting,kleinch01
,,,,,,,,,,,,,,,,,,-9999
1931,AL,Lefty Grove,PHA,10.0,.200,.220,.226,0,12,0,31,4,5,2.06,288.2,175,Voting,grovele01
1931,NL,Frankie Frisch,STL,4.0,.311,.368,.396,4,82,28,,,,,,,Voting,friscfr01
,,,,,,,,,,,,,,,,,,-9999
1929,NL,Rogers Hornsby,CHC,10.5,.380,.459,.679,39,149,2,,,,,,,Voting,hornsro01
,,,,,,,,,,,,,,,,,,-9999
1928,AL,Mickey Cochrane,PHA,3.4,.293,.395,.464,10,57,7,,,,,,,Voting,cochrmi01
1928,NL,Jim Bottomley,STL,5.6,.325,.402,.628,31,136,10,,,,,,,Voting,bottoji01
,,,,,,,,,,,,,,,,,,-9999
1927,AL,Lou Gehrig,NYY,11.9,.373,.474,.765,47,173,10,,,,,,,Voting,gehrilo01
1927,NL,Paul Waner,PIT,7.0,.380,.437,.549,9,131,5,,,,,,,Voting,wanerpa01
,,,,,,,,,,,,,,,,,,-9999
1926,AL,George Burns,CLE,5.1,.358,.394,.494,4,115,13,,,,,,,Voting,burnsge02
1926,NL,Bob O'Farrell,STL,3.9,.293,.371,.433,7,68,1,,,,,,,Voting,o'farbo01
,,,,,,,,,,,,,,,,,,-9999
1925,AL,Roger Peckinpaugh,WSH,2.7,.294,.367,.379,4,64,13,,,,,,,Voting,peckiro01
1925,NL,Rogers Hornsby,STL,10.3,.403,.489,.756,39,143,5,,,,,,,Voting,hornsro01
,,,,,,,,,,,,,,,,,,-9999
1924,AL,Walter Johnson,WSH,7.5,.283,.308,.389,1,14,0,23,7,0,2.72,277.2,158,Voting,johnswa01
1924,NL,Dazzy Vance,BRO,10.3,.151,.231,.208,2,11,0,28,6,0,2.16,308.1,262,Voting,vanceda01
,,,,,,,,,,,,,,,,,,-9999
1923,AL,Babe Ruth,NYY,14.2,.393,.545,.764,41,130,17,,,,,,,Voting,ruthba01
,,,,,,,,,,,,,,,,,,-9999
1922,AL,George Sisler,SLB,8.7,.420,.467,.594,8,105,51,,,,,,,Voting,sislege01
,,,,,,,,,,,,,,,,,,-9999
1914,AL,Eddie Collins,PHA,9.1,.344,.452,.452,2,85,58,,,,,,,Voting,collied01
1914,NL,Johnny Evers,BSN,4.9,.279,.390,.338,1,40,12,,,,,,,Voting,eversjo01
